song_id,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_cq_mean,chroma_cq_std,chroma_cens_mean,chroma_cens_std,melspectrogram_mean,melspectrogram_std,mfcc_mean,mfcc_std,mfcc_delta_mean,mfcc_delta_std,rms_mean,rms_std,centroid_mean,centroid_std,spec_bw_mean,spec_bw_std,contrast_mean,contrast_std,flatness_mean,flatness_std,rolloff_mean,rolloff_std,poly_mean,poly_std,tonnetz_mean,tonnetz_std,zcr_mean,zcr_std
1277,112.3471467,76981,950.382716,0.314730269,0.298360133,0.310797476,0.288699331,0.199030282,0.20909395,2.468051223,14.36051867,-3.452949873,90.83748101,0.001170786,2.878779852,0.442729384,0.023873685,797.9832306,641.9084737000002,1579.0754,726.1615318,22.39837652,6.478777664,0.000746567,0.003150066,1202.703839,1701.088052,0.6972748790000001,0.84926785,0.018849599,0.12408297,0.025924005,0.018119851
1154,161.49902340000003,110656,1216.0,0.289863287,0.300385273,0.439421353,0.280168438,0.236124947,0.166067283,1.581454849,9.897415279,-4.195434201,63.87196244,0.011360661,2.229955852,0.55153358,0.103870735,1338.634017,625.5100242999998,1813.691315,495.14566910000013,21.77076015,5.613650275,0.004888699,0.01518325,2674.439384,1600.824782,0.796270831,0.998980604,-0.004514392,0.090271195,0.052359472,0.032029875
172,71.77734375,44527,908.7142857,0.330807545,0.287540787,0.39733005,0.266006851,0.229129817,0.175592882,5.850120569,25.42104506,0.900924818,72.04353435,0.013140100000000002,1.595550766,0.936899841,0.118149966,659.1700238,126.3603418,804.2281112000003,172.35952790000005,24.91333595,7.960359044,0.001059234,0.031973928,1180.646658,251.68410330000003,1.6295577019999998,1.86741483,-0.035393397,0.093847224,0.038744362,0.009772509
1286,95.703125,64515,935.0,0.256013166,0.297314493,0.46376769,0.271395054,0.248162323,0.147474726,1.6557942630000002,8.937673644,-19.48337779,79.24051496,0.0007205689999999999,1.894657573,0.580685198,0.0020616370000000003,1239.21614,243.1299536,856.7947515000003,115.2796563,25.65136917,9.04385276,1.2e-05,6.61e-05,2192.736741,531.8046946999998,0.900582076,0.998365799,-0.007096381999999998,0.090543972,0.08807984,0.028634555
1515,161.49902340000003,87848,836.6476190000003,0.42025963,0.276575886,0.469495469,0.257431203,0.249841846,0.144611151,1.492444429,7.914174131,1.976261917,40.52448374,-0.003573131,2.1693468,1.022712946,0.083040483,2294.362351,526.557184,1975.98755,313.8215748,19.88693686,7.915169037999999,0.017271953,0.023852542,4362.390288000001,918.9825294,1.286335735,1.409880513,-0.011379276,0.064665087,0.132312125,0.043640315
1656,135.9991776,95700,957.0,0.298095685,0.297564082,0.472232265,0.269566184,0.259750149,0.12594917,1.053107013,9.218050744,-8.118557733,64.08725456,-0.002741683,2.693975359,0.551883817,0.040654197,1386.374571,407.14474289999987,1613.414486,293.2362856000001,22.85900068,7.231026006,0.001833302,0.003039228,2921.32678,908.3607441,0.6849192940000001,0.938339147,0.027965001,0.075899838,0.063640583,0.027718369
1013,143.5546875,92861,977.4842105,0.32048354100000004,0.29823668,0.449195519,0.270611506,0.241178659,0.158638544,1.321782676,7.109102144,-7.056550884,81.70337399,0.000432414,2.015845669,0.532331944,0.083351605,861.5316345000001,396.0735414,935.355259,233.9917687,23.29163951,6.212267859,0.00022332,0.0008912789999999998,1592.568148,806.042738,0.769319157,0.937287796,0.033243836,0.076632893,0.054195691,0.038315988
1990,103.359375,75922,973.3589744,0.5357130720000001,0.271430771,0.615948543,0.235279846,0.273802826,0.091462263,1.89774044,11.54909874,0.740642886,59.82181272,-0.006293104,2.638461627,0.8221274609999999,0.175294802,1687.320979,820.0890973999999,2218.50239,631.9444359,17.88766756,6.776281835,0.011555675,0.018559361,3787.038211,2037.974157,0.961144688,1.2306597,-0.005995832,0.043594635,0.06095428,0.050036162
1062,107.6660156,76938,949.8518519,0.33911074,0.296145885,0.531801591,0.259601699,0.266845402,0.110122046,0.590817821,3.431008842,-10.09150251,63.8403338,0.002510412,4.103188917,0.570905805,0.026896324,1826.942705,606.0838646000002,1625.271483,405.0671769,21.61889817,7.713148731,0.005702611999999999,0.008278223000000001,3371.312947,1228.323038,0.701685118,0.935844166,0.011768487,0.068083737,0.111301418,0.047059786
1536,64.59960938,39343,914.9534884,0.34366530100000003,0.306911948,0.561618273,0.264740365,0.262719849,0.11963116,1.444608927,18.03997519,-7.4843628189999984,80.36812256,0.001244088,4.871519852,0.417324275,0.0008985,1707.1175460000006,1178.927484,2244.489956,969.8496454,23.33827806,6.454528984,0.006563136999999999,0.011854223999999998,3816.788032,2974.353855000001,0.517638762,0.801090613,0.015593353,0.052285082,0.060915983,0.051793467
