,labels,pred_valence,pred_arousal,pred_quadrant
1,angry,0.4040413515603323,0.4961562262098729,sad
2,angry,0.7570723646316149,0.8294872658084478,happy
3,angry,0.4999986505948236,0.4705617382621436,sad
4,angry,0.449684717997377,0.47438048194106713,sad
5,angry,0.7629871940259079,0.8554314224448882,happy
6,angry,0.7186044078268462,0.6675482409688476,happy
7,angry,0.4276083603583392,0.29704900130587325,sad
8,angry,0.6323199386979713,0.676407585079261,happy
9,angry,0.5484036989513265,0.5098023037407706,happy
10,angry,0.7537450434960254,0.8390008213870702,happy
11,angry,0.5053829002363052,0.5510005607108321,happy
12,angry,0.49691259233325824,0.5883713714220532,angry
13,angry,0.530197614866936,0.5888411611454605,happy
14,angry,0.5209282741229867,0.5498298109288389,happy
15,angry,0.619001131352009,0.6703264841574869,happy
16,angry,0.6715276180524916,0.661427428328073,happy
17,angry,0.5811554468514514,0.4293898445351656,relax
18,angry,0.6205733383334749,0.7119633503604608,happy
19,angry,0.47833247770999665,0.4720819732849104,sad
20,angry,0.7305905736417831,0.8347564694041383,happy
21,angry,0.3388326564460601,0.27414355201002605,sad
22,angry,0.486274415441104,0.4918779583982059,sad
23,angry,0.46665172355484863,0.593188028381516,angry
24,angry,0.493936991954203,0.26342622526107573,sad
25,angry,0.47671461389962133,0.5996681628849849,angry
26,angry,0.6978721721084652,0.7508634641298202,happy
27,angry,0.4411931588930546,0.4482721774968619,sad
28,angry,0.7753257648153435,0.8674722935068233,happy
29,angry,0.49866069675183,0.5270807421434773,angry
30,angry,0.7075807070388441,0.7769232201784553,happy
31,angry,0.5278765769118464,0.5264551377650639,happy
32,angry,0.46245138459243557,0.45850453594709056,sad
33,angry,0.600588049012026,0.7643210251818671,happy
34,angry,0.5653854461083532,0.7018879065258057,happy
35,angry,0.495580859298119,0.5860864841813944,angry
36,angry,0.5140605833553872,0.5965920915134542,happy
37,angry,0.6454542851015905,0.7325858369787177,happy
38,angry,0.5051353786003634,0.6564869610696937,happy
39,angry,0.677519549414201,0.7080315627804017,happy
40,angry,0.5412416326168751,0.3641007826154623,relax
41,angry,0.548697321931624,0.5264392306570675,happy
42,angry,0.4945452110362627,0.4357189734294717,sad
43,angry,0.6072359577392235,0.7118279289480852,happy
44,angry,0.6949765544298372,0.6695465287044352,happy
45,angry,0.6004080650015455,0.7937311225039637,happy
46,angry,0.664322108291178,0.645606240158052,happy
47,angry,0.5373467051856092,0.5443042514152888,happy
48,angry,0.7439331653371122,0.7674271120189433,happy
49,angry,0.6280739021569592,0.7791590751558555,happy
50,angry,0.691135091828683,0.7439517479073354,happy
51,angry,0.5850314272496989,0.4909888690463588,relax
52,angry,0.5503998946736721,0.49414300367008857,relax
53,angry,0.6199669310323404,0.5939725981062567,happy
54,angry,0.4757513876449784,0.5171051680929932,angry
55,angry,0.48736877605164086,0.44302189484736865,sad
56,angry,0.4777447437599037,0.5709971564961969,angry
57,angry,0.492001909875846,0.5250419735145339,angry
58,angry,0.5513501917941145,0.5574888917877796,happy
59,angry,0.5333325100173695,0.5001813268169792,happy
60,angry,0.5327468132063635,0.38453963831280774,relax
