song_id,beats_total_perc,beats_avg_perc,beats_median_perc,beats_std_perc,tempo_perc,tempo,beats_total,beats_avg,chroma_stft_mean,chroma_stft_std,chroma_cq_mean,chroma_cq_std,chroma_cens_mean,chroma_cens_std,melspectrogram_mean,melspectrogram_std,mfcc_mean,mfcc_std,mfcc_delta_mean,mfcc_delta_std,rms_mean,rms_std,centroid_mean,centroid_std,spec_bw_mean,spec_bw_std,contrast_mean,contrast_std,flatness_mean,flatness_std,rolloff_mean,rolloff_std,poly_mean,poly_std,tonnetz_mean,tonnetz_std,zcr_mean,zcr_std,label
1,124861,1287.226804,1288.0,738.0012922000001,99.38401442,99.38401442,125766.0,1283.3265310000002,0.429612417,0.310207374,0.562210683,0.27505651600000003,0.27211265,0.096374473,14.52852519,171.5165718,0.285317663,36.55882374,0.0031922829999999998,4.864795218,2.573524237,0.11499604599999999,2656.710853,1015.626903,2401.114095,440.99102930000004,21.56329094,9.613582266,0.028754931,0.050927762,5320.99043,1749.857677,2.640937681,3.578494165,-0.000449885,0.055280792999999995,0.145767838,0.092187505,angry
2,39878,623.09375,626.0,361.1571991,129.1992188,129.1992188,39906.0,623.53125,0.43511024200000004,0.28042576399999997,0.5600863070000001,0.240293708,0.273036483,0.093725196,12.52799206,59.16734774,5.087353248,25.39061566,0.0027989990000000004,1.99785684,3.158729792,0.087329365,2786.3860219999997,512.2896494,2604.2496739999997,296.9395591,19.00090706,6.945130985,0.050492693,0.034877032,5733.5486630000005,1074.105381,3.6286159189999996,4.211339381,-0.004800960999999999,0.055432616,0.13947119,0.038581213999999996,angry
3,31010,646.0416667000001,646.0,376.3357853,95.703125,95.703125,29747.0,632.9148936,0.519464864,0.26332649999999996,0.564990222,0.25626513300000003,0.268475754,0.10608535599999999,7.486588635,35.28535629,6.220389132999999,25.48402694,0.008741245,2.271344976,2.7220385069999997,0.020114297,3057.885433,534.8156709,2540.0270920000003,268.61282539999996,20.63671045,11.054256,0.024343117999999997,0.021551687000000003,5876.881913,1006.321649,2.9841443689999996,3.217937332,-0.00413457,0.056630647,0.172027235,0.046452895,angry
4,158060,1264.48,1262.0,734.0524515,129.1992188,129.1992188,158084.0,1264.672,0.497706485,0.270960145,0.583957584,0.231244548,0.279065163,0.073864527,0.9589113859999999,3.8534817739999996,0.568135716,42.48306285,0.003917875,1.96726023,0.885506153,0.087720521,2310.988667,459.0212308,2124.361794,271.6572875,20.43925676,9.319057619,0.010764029,0.008428239,4412.997302000001,880.9935347,1.132007015,1.237815367,0.00092838,0.04883582400000001,0.130378469,0.04036532,angry
5,40221,744.8333332999999,745.5,430.11918030000004,92.28515625,92.28515625,40232.0,745.037037,0.507351454,0.259719293,0.584060593,0.235486922,0.272568116,0.09507868,11.92375369,60.39522413,5.133047105,23.24495697,-0.001586671,1.7751755340000002,3.002823114,0.064482018,2759.374873,536.7118937,2643.91072,277.77560689999996,18.95043033,6.599856665,0.048804390999999996,0.037378247999999996,5777.152305,1150.116007,3.554064575,3.887464568,0.001619065,0.056812062,0.137074245,0.045609942,angry
6,182537,1276.482517,1276.0,735.7704858,143.5546875,143.5546875,182581.0,1276.79021,0.340979285,0.281440184,0.488986651,0.259818295,0.24951749,0.145170093,18.51757586,77.03849555,6.807127619,23.14658681,0.00292183,1.3762477919999998,3.567045212,0.078271784,2737.18659,406.0392271,2607.344044,238.8576418,21.76357815,7.44814348,0.022264132000000002,0.019329151,5880.828692,900.1136797,4.331844652,4.519590546,-0.006513433000000001,0.066205758,0.137000334,0.033629887000000004,angry
7,35059,637.4363636,639.0,361.96738999999997,117.4538352,117.4538352,35105.0,638.2727272999999,0.31364565699999997,0.290910547,0.511331234,0.248392285,0.257112151,0.131250429,0.504125398,2.734070837,-15.10544099,65.48019279,0.000603252,2.347042983,0.566511333,0.034840498,2003.240531,335.5472588,1334.4858199999999,189.47079509999998,25.04135717,10.738052900000001,0.000400788,0.00037948,3407.5627280000003,618.2201543,0.7322567240000001,0.900108584,0.01114098,0.08188983400000001,0.14678180300000002,0.033995892,angry
8,25279,601.8809524000001,602.0,354.8327039,89.10290948,89.10290948,24089.0,587.5365853999999,0.399582076,0.27805419800000003,0.538864341,0.241006406,0.267246298,0.10914554300000001,14.36563006,55.45655315,5.827818412,30.10892564,0.000144821,1.737343214,3.044970751,0.144671321,2135.036454,422.8528359,2218.6286010000003,327.82037260000004,19.58834435,6.459852787000001,0.018434692,0.015827853,4126.525047,1115.7418189999999,4.077411973,4.527365832,0.008399516999999999,0.060695028,0.11413309699999999,0.033780844,angry
9,124570,1284.226804,1284.0,738.0707857000001,95.703125,95.703125,124610.0,1284.639175,0.440398205,0.281455152,0.512921203,0.26651625100000004,0.264758214,0.115049649,6.2991963239999995,31.18003516,5.490648002,27.05179866,-0.001494742,2.547216874,2.109707832,0.17537888899999998,2729.438003,573.851303,2494.726982,311.167027,21.29822623,9.742300699,0.026197746,0.023870097000000003,5560.49971,1019.2318050000001,2.3917912130000003,2.798337937,0.01136691,0.066319797,0.141972686,0.056494832,angry
10,28105,638.75,633.5,371.744727,89.10290948,89.10290948,28073.0,638.0227272999999,0.47148688299999997,0.273229226,0.5697847070000001,0.241524899,0.272760642,0.094524945,15.400071100000002,81.26430978,6.6594651879999995,29.24247833,-0.001100494,2.555729107,3.464304686,0.178146854,2646.983549,690.2444672,2454.04311,374.35170189999997,19.30979074,7.104972854,0.043526962,0.041124649,5244.625006,1288.900153,4.014767015,4.698095226,0.0034378020000000002,0.053205395,0.138530947,0.05704671,angry
