song_id,beats_total_perc,beats_avg_perc,beats_median_perc,beats_std_perc,tempo_perc,tempo,beats_total,beats_avg,chroma_stft_mean,chroma_stft_std,chroma_cq_mean,chroma_cq_std,chroma_cens_mean,chroma_cens_std,melspectrogram_mean,melspectrogram_std,mfcc_mean,mfcc_std,mfcc_delta_mean,mfcc_delta_std,rms_mean,rms_std,centroid_mean,centroid_std,spec_bw_mean,spec_bw_std,contrast_mean,contrast_std,flatness_mean,flatness_std,rolloff_mean,rolloff_std,poly_mean,poly_std,tonnetz_mean,tonnetz_std,zcr_mean,zcr_std,valence,arousal,label
2,99656,958.2307691999999,956.5,552.0244252,143.5546875,143.5546875,99666,958.3269231,0.38503718600000003,0.306628839,0.43254057700000004,0.27467613,0.233287009,0.17003089300000002,2.7364712460000002,14.91092085,0.8319373729999999,44.23345223,0.011277802,2.147488094,0.940247655,0.017371979,1789.152236,483.34249639999996,2104.961488,363.95768,21.25856796,6.603732400000001,0.008220597,0.033091981,3775.9486770000003,1138.819806,1.308245957,1.4876931919999998,-0.004305331,0.07344074099999999,0.067953103,0.026721187999999996,0.2625,0.25,sad
3,69891,970.7083332999998,971.0,559.1097944,95.703125,95.703125,68006,957.8309859,0.443445264,0.296542789,0.30931776699999997,0.299346768,0.195203887,0.21267058,4.137873573999999,44.80846041,2.251544238,65.40720159,0.011901792,2.952286075,0.523827076,0.0008774760000000001,958.364724,477.5558092,1660.823035,523.2005541999999,22.89166565,7.011850752000001,0.002434159,0.030847985,2057.5697059999998,1351.687107,0.833859204,0.947935115,0.025908992000000002,0.116252609,0.02415482,0.016008171,0.3125,0.2875,sad
4,113551,923.1788617999999,930.0,532.8732980000001,172.265625,172.265625,121295,955.0787402000001,0.34934646,0.293794863,0.477664291,0.270213392,0.25939520899999996,0.126678565,8.989519109,55.52121055,3.597917199,39.98337181,0.010419854000000001,2.6062536030000003,1.44568491,0.039006757999999996,1661.804757,530.3790038,2064.728795,444.82780360000004,22.02082256,7.800461263,0.007385610999999999,0.033540476,3337.6908829999998,1245.659666,2.10126008,2.381176965,0.007744846999999999,0.07396263900000001,0.066995711,0.033347634,0.5875,0.5625,happy
5,70922,958.4054054,955.0,561.9418532999999,99.38401442,99.38401442,70975,959.1216216,0.292784284,0.297506096,0.460379896,0.273348058,0.249804842,0.144675065,5.638987403,28.80475147,-8.805119898,45.69824895,0.006925574,2.796171394,1.1280453209999999,0.057692323,1599.8066039999999,609.0837389,2083.374812,451.168871,24.13000161,6.108513966,0.005222205,0.033798363,3240.2031899999997,1362.631834,1.580752503,1.783034541,-0.003143892,0.09086051,0.063791177,0.034745489,0.425,0.5375,angry
7,85722,963.1685392999999,963.0,553.1603631,117.4538352,117.4538352,85742,963.3932583999999,0.352041696,0.32631197,0.339988775,0.296385126,0.23752302600000003,0.16406140800000002,17.66777209,126.79907920000001,4.96234367,46.74245325,0.008484931999999999,3.118622313,1.224029541,0.019197561000000002,1255.9135919999999,503.0915848,2074.011971,465.2898694,19.8061959,7.740482067,0.003186006,0.032273598,3002.0568940000003,1667.624821,1.89776598,2.018403088,0.007300368000000001,0.10063669,0.022700424,0.015200328,0.6,0.675,happy
8,115285,952.7685949999999,953.0,550.3842198,161.49902340000003,161.49902340000003,115307,952.9504132000001,0.38563563799999995,0.312304802,0.476671622,0.28192966,0.256314721,0.13280096800000002,4.520213463,46.69948518,-0.025885876000000002,79.11095743,0.006771876,5.512752906,0.6210520860000001,0.026295241,1181.1590800000001,1154.443898,1733.1673469999998,1077.5071970000001,21.06862045,7.075347164,0.007061345,0.027526283999999998,2540.418745,2998.972254,0.854551451,1.023046928,0.01265393,0.077698556,0.032511833,0.034107949,0.275,0.475,sad
10,64340,946.1764706,946.0,540.9465544,95.703125,95.703125,60668,905.4925373,0.26090804,0.306283849,0.44455238399999997,0.290263034,0.242887766,0.156009187,1.20947114,11.82985379,-4.229002981,71.18729509999999,0.014394974,4.982855665,0.48845166,0.006184149,1601.338687,848.5397742999999,1930.130509,837.2353754,23.16468025,6.927434172000001,0.006693566999999999,0.034702703,3374.949625,2300.092666,0.615472771,0.801679638,0.002328522,0.085801763,0.07575705,0.04497746,0.375,0.4625,sad
12,65942,942.0285713999999,942.0,552.26417,92.28515625,92.28515625,65963,942.3285714,0.359428587,0.305928584,0.460902446,0.286564557,0.251168428,0.142294602,13.53850596,99.21598155,1.2193440770000001,40.34558665,0.014204079,3.833165536,1.900064945,0.076916531,2082.135899,1052.165664,2423.564165,712.8268009999999,19.80603881,7.46482127,0.02239388,0.049248237,4664.085141,2486.569149,2.308122352,2.726124496,0.026895612000000003,0.085762351,0.073437902,0.063190317,0.5625,0.6,happy
13,58274,924.984127,923.0,544.0430507,86.1328125,86.1328125,56445,910.4032258,0.274210917,0.302600415,0.362483031,0.295315208,0.21757030300000002,0.189727427,4.551221771,30.47972992,-6.52459385,55.32154622,0.009112875999999999,3.087345885,0.8532139059999999,0.014671913,1533.33313,819.0393942000001,2030.5928850000003,497.3668359,24.44934097,6.123561485,0.004827145,0.033486098,3105.779039,1757.6921300000001,1.115623872,1.3451364719999999,0.00381013,0.11995980099999999,0.051592285,0.043585469,0.275,0.375,sad
17,72578,930.4871795,925.0,544.200843,107.6660156,107.6660156,71635,930.3246752999999,0.341939714,0.295518944,0.48655385100000004,0.27240957,0.25392782,0.137309853,11.36834621,75.01031661,1.5773729840000001,36.12761905,0.00907304,3.091214228,1.878453255,0.140433177,1889.124179,635.8582437000001,2192.629359,443.21243499999997,21.24972254,7.342163775,0.01016388,0.031600937,4169.420538,1420.730027,2.398858664,2.796729263,0.014892465,0.063573995,0.06944863700000001,0.038580787000000005,0.425,0.625,angry
18,64948,955.1176471000001,956.0,548.7529051,92.28515625,92.28515625,63098,927.9117646999999,0.308815228,0.306204981,0.42819445799999994,0.281903389,0.23806540199999998,0.163273383,1.27373521,7.674056908,-3.7473617889999997,50.51686941,0.009179732,2.6194537,0.615023196,0.015455888000000001,2169.070753,888.4226499,2430.654349,397.5122164,22.73834719,7.871904938999999,0.01181873,0.037437394,4914.440522,1586.3897960000002,0.790588306,0.891147899,0.024800113999999998,0.075007238,0.08655256800000001,0.067322859,0.475,0.3625,sad
19,90054,968.3225806,968.0,555.1759222000001,123.046875,123.046875,88169,948.0537634,0.41493327799999996,0.281655062,0.556305139,0.257186767,0.265599833,0.113093156,12.32451521,79.91356551,4.795346864,39.01405794,0.010877945,2.193902275,2.017807961,0.175100893,1627.566933,630.67129,1986.028186,560.3322879,21.45158195,6.613704619,0.009114078000000001,0.034754265,3514.8680759999997,1646.6159810000001,2.808732942,3.083013052,-0.0035996659999999996,0.06756810099999999,0.06835031400000001,0.032520032000000004,0.6125,0.4125,relax
20,77731,947.9390243999999,948.5,550.9015304999999,112.3471467,112.3471467,77758,948.2682927000001,0.35289495200000004,0.301685512,0.519171851,0.253810154,0.266479629,0.111004238,3.7727203119999997,17.70302395,1.9580917780000002,41.18590971,0.013215703,3.574990942,1.449947119,0.048396837000000005,2192.306171,696.5101172999999,2381.278169,463.81068569999996,20.94239661,7.124782302000001,0.017712789,0.033559106,4632.258175,1516.769575,1.599156571,2.053651694,0.006739578,0.061493137999999996,0.110976764,0.056716342,0.55,0.6875,happy
21,96215,962.15,960.0,557.8870204,135.9991776,135.9991776,96323,963.23,0.280675021,0.284015091,0.418169371,0.266860417,0.234472259,0.168392675,9.539930233,44.89450996,-1.57658468,37.63339087,0.011837203000000001,2.667262557,1.539137959,0.052986857000000005,1658.082465,433.8339962,2056.391729,411.03787539999996,24.33367133,7.228174749,0.004227642,0.032201529,3595.490228,1205.841467,2.2379834869999997,2.443131078,0.013218493000000001,0.091406366,0.071233719,0.023235794,0.7,0.6625,happy
22,67961,943.9027777999999,945.0,549.0299567000001,99.38401442,99.38401442,67991,944.3194444000001,0.412757573,0.291312947,0.488068162,0.26159493,0.25527336100000003,0.134791857,3.586313618,22.38326651,0.42048107,48.21235644,0.01331414,2.515969035,1.099141002,0.11724377400000001,1574.123748,406.9943086,1907.7352829999998,422.2988051,21.01225361,7.00988286,0.00491649,0.023140116000000002,3214.518741,1120.891869,1.622398833,1.8798387159999999,-0.002565909,0.06365457599999999,0.073490607,0.026409718999999998,0.375,0.475,sad
24,66893,942.1549296000001,947.0,552.5567117,95.703125,95.703125,57812,875.9393938999999,0.266749984,0.300833228,0.443617666,0.285004367,0.244687982,0.153170248,5.858834532,35.09329069,-1.776193326,35.11844133,0.008693026999999999,1.939375604,1.281678438,0.125566974,2065.445324,398.9064165,2211.167795,171.8660149,21.52796357,7.3174931139999995,0.009417928,0.030256462999999997,4384.514051,621.3135063,1.770764201,1.9417885680000002,-0.018302359,0.083949631,0.081286627,0.04013793,0.5375,0.3625,relax
25,48405,930.8653846000001,934.5,541.8983026000001,71.77734375,71.77734375,48424,931.2307691999999,0.44342034399999997,0.298179493,0.515626194,0.25622307899999996,0.264156925,0.11642359,4.414887933,24.10611875,3.731222218,32.42409258,0.015620078,1.9746079109999999,1.5980226990000002,0.144023493,2294.977779,441.92391169999996,2272.352006,293.3547059,19.50758727,8.055032909,0.015362638999999999,0.033300001,4743.772414,809.58732,1.9615075180000001,2.206979893,0.004353214,0.056489486,0.103786054,0.059624561,0.8625,0.4625,relax
31,115151,959.5916667000001,954.5,558.0260222999999,161.49902340000003,83.35433468,57115,951.9166667000002,0.373094255,0.302400425,0.425359316,0.289481004,0.240355677,0.159882713,4.0367066,31.8697364,1.6480671219999998,40.84228244,0.007814268000000001,2.862285303,1.089032054,0.011070831000000001,2344.363968,712.5857469,2660.9403429999998,519.0015074,21.40381918,8.403726282000001,0.012420335,0.027298015,5508.137861,1689.926327,1.3080953309999999,1.665365929,-0.0030741490000000004,0.087973853,0.093344525,0.046935298,0.4625,0.35,sad
