song_id,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_cq_mean,chroma_cq_std,chroma_cens_mean,chroma_cens_std,melspectrogram_mean,melspectrogram_std,mfcc_mean,mfcc_std,mfcc_delta_mean,mfcc_delta_std,rms_mean,rms_std,centroid_mean,centroid_std,spec_bw_mean,spec_bw_std,contrast_mean,contrast_std,flatness_mean,flatness_std,rolloff_mean,rolloff_std,poly_mean,poly_std,tonnetz_mean,tonnetz_std,zcr_mean,zcr_std,valence,arousal,label
pb879,99.38401442,19545,514.3421053000002,0.406708483,0.293726626,0.528166069,0.283912082,0.254622164,0.136017965,13.96169196,142.35250449999995,4.018311097,45.92087381,0.02380915,2.638346321,1.41298902,0.018038452,1511.446375,821.9700224999998,2159.663711,625.2833714,20.87641066,6.166157363,0.006350644,0.032200057000000004,3210.163536,2004.032578,1.978697584,2.420622157,0.000478594,0.06440887599999999,0.049165713,0.037246294,0.6375,0.4875,relax
pb35,143.5546875,137912,1112.193548,0.300109336,0.292919576,0.3459176,0.284992388,0.214771984,0.19288942,13.58129342,59.72089395,4.03102289,36.26642531,0.012039255,1.960522487,1.837125063,0.198783889,1779.9683079999998,702.3128592999999,2246.663713,369.0248709,24.01299861,5.596563347999999,0.006590636,0.025767598,3794.958126,1393.780882,2.523574013,2.780680669,0.013578379,0.1162989,0.071774077,0.049517961,0.625,0.3375,relax
pb921,135.9991776,77274,858.6,0.467727566,0.276459915,0.5156975460000001,0.273017406,0.25595098,0.13350067,10.22409663,64.24044153,6.012126817,23.314471,0.017771356999999998,2.2763380840000003,2.7212133410000003,0.136148661,2973.197429,592.5937035000002,2738.150214,222.01583019999995,19.41113459,6.898527859,0.051970918,0.042130213,6236.021867,958.4372588,2.987688393,3.391538314,-0.009269592,0.059065284,0.14278108,0.057893277,0.5625,0.475,relax
pb280,95.703125,49060,817.6666667000002,0.5283155829999999,0.277523368,0.34574726100000003,0.315147263,0.203592554,0.204654355,23.90186471,231.7667716,6.612821871,54.31571612,0.016286135,4.518258868999999,1.815257788,0.016256621000000002,1314.359772,1014.017307,1924.5689,878.6282379,22.19556073,8.440516648,0.0052331420000000005,0.036955491,2948.8467,2529.273729,2.226981319,2.997682434,0.00928691,0.111920958,0.027199262,0.024143901,0.525,0.325,relax
pb518,129.1992188,9998,322.516129,0.339835515,0.310739608,0.452323496,0.288882382,0.248393405,0.147085179,10.11047512,120.6572782,-4.655284063,61.7207988,0.0031492390000000003,3.494751577,1.654063702,0.04767257,1581.656663,986.331421,1873.846238,810.3581361,21.32860486,7.064997652000001,0.010024583,0.024348591,3212.572574,2284.247161,1.694990113,2.787508384,-0.014373313,0.083609828,0.06368935,0.047949542000000005,0.5125,0.425,relax
pb181,161.49902340000003,18028,375.5833333,0.520342716,0.27691000600000004,0.306470052,0.314847949,0.18781681,0.219221758,28.95962296,222.3525703,7.539356057999999,30.59309141,0.038507279,2.9698468030000003,2.28436327,0.021679044,2557.59524,856.0008045,2918.067068,420.2120166,21.55301476,6.362321035,0.012439066,0.040227517,6131.150586,1731.4441149999998,2.594513461,2.909063729,0.003021433,0.126412679,0.045059949,0.0310139,0.625,0.4875,relax
pb918,161.49902340000003,51164,631.654321,0.357815798,0.291386269,0.42388399,0.286273245,0.237338257,0.164328588,9.205443675,64.53563887,3.984390337,36.05542585,0.017192463999999998,2.825021792,1.701448441,0.049188338,2017.158385,675.6836381,2522.771531,454.9825651,20.67207939,6.109523904,0.012390963,0.014867943,4551.003471,1715.0218109999996,2.1745798,2.525641449,-0.011641821,0.089957015,0.07169313299999999,0.032285252,0.6375,0.4,relax
pb225,123.046875,17523,427.39024389999986,0.429618818,0.307548154,0.55781762,0.261178991,0.26873014100000003,0.105439293,17.60553508,139.3107104,2.876928867,53.15132546,0.026713129,3.80730645,1.69593811,0.037703097000000005,1684.720545,1081.715764,2201.941511,911.0519128,21.26136446,6.839859372,0.008624716,0.02340984,3899.543318,2700.431102,2.165393241,2.969980249,0.01223579,0.054152558,0.053422382,0.049409656,0.525,0.4125,relax
pb40,80.74951172,36010,750.2083332999998,0.311320937,0.299613105,0.515523655,0.273261747,0.256969199,0.13153008800000002,6.275990402000001,39.23815723,1.727095034,32.17509014,0.010815951,2.295528215,1.625887156,0.101610772,2651.849088,710.0416663,2827.946977,379.7251514,21.62183305,6.19989154,0.023882724,0.028251944,6042.350367,1579.177583,1.881251848,2.20213448,0.010510493,0.073303384,0.110579182,0.051917644000000006,0.6625,0.375,relax
pb411,161.49902340000003,93956,878.0934579,0.256079439,0.305478185,0.374717359,0.296412525,0.21997111,0.186938611,11.26528415,88.29448085,-1.606240861,45.52612978,0.01353326,1.853791027,1.178475857,0.11227008,1733.795532,773.0207271,2249.895675,474.0712172,23.70689422,6.639724162,0.008046584,0.032110583,3608.565282,1599.086607,1.659704059,1.939140002,0.017464533,0.099214894,0.059740966,0.06106774,0.6375,0.175,relax
